TS	4/4	
Bar	[3.0]	[74]
Grp	0.0	
Bar	[0.0, 2.0, 3.0]	[67, 67, 70]
Bar	[0.0, 2.0, 3.0]	[74, 67, 70]
Bar	[0.0, 2.0, 2.5, 3.5]	[73, 72, 70, 67]
Bar	[0.0]	[67]
Grp	0.0	
Bar	[1.0, 1.5, 2.5, 3.0]	[70, 70, 70, 70]
Bar	[0.0, 0.5, 1.5, 2.0, 3.0, 3.5]	[70, 70, 70, 70, 70, 70]
Bar	[0.0, 0.5, 1.0, 2.0, 2.5, 3.5]	[70, 70, 70, 70, 70, 70]
Bar	[0.0, 3.0]	[70, 70]
Bar	[0.0, 3.0]	[70, 72]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 2.5, 3.5]	[72, 72, 72, 70, 72]
Bar	[0.0, 1.0, 2.0, 2.5]	[72, 70, 72, 70]
Bar	[0.0]	[67]
Bar	[0.0, 3.0]	[67, 72]
Grp	0.0	
Bar	[0.0, 1.0, 2.0, 2.5]	[72, 72, 72, 72]
Bar	[0.0, 1.0, 2.0, 2.5]	[72, 70, 72, 70]
Bar	[0.0]	[65]
Bar	[0.0, 3.0]	[67, 70]
Grp	0.0	
Bar	[0.0, 2.0, 3.0]	[67, 67, 70]
Bar	[0.0, 2.0, 3.0]	[74, 67, 70]
Bar	[0.0, 2.0, 2.5, 3.5]	[73, 72, 70, 67]
Bar	[0.0]	[67]
Grp	0.0	
Bar	[1.0, 1.5, 2.5, 3.0]	[70, 70, 70, 70]
Bar	[0.0, 0.5, 1.5, 2.0, 3.0, 3.5]	[70, 70, 70, 70, 70, 70]
Bar	[0.0, 0.5, 1.0, 2.0, 2.5, 3.5]	[70, 70, 70, 70, 70, 70]
Bar	[0.0]	[70]
Bar	[0.0]	[70]
