TS	3/4
Bar	[]
Grp	1.0
Bar	[1.0]
Bar	[0.0, 2.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0]
Grp	1.0
Bar	[]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	1.0
Bar	[]
Bar	[0.0, 2.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	1.0
Bar	[]
Bar	[0.0, 2.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0]
Grp	1.0
Bar	[]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	1.0
Bar	[]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
