TS	4/4	
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[69, 65, 62, 70, 69, 68]
Bar	[0.0]	[69]
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[69, 63, 60, 70, 69, 66]
Bar	[0.0, 1.0]	[69, 67]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[67, 69, 67, 69, 67, 66]
Bar	[0.0, 1.0, 3.0, 3.5]	[67, 65, 64, 62]
Bar	[0.0, 1.0, 2.0, 2.5, 3.0, 3.5]	[65, 64, 64, 64, 67, 65]
Bar	[0.0, 1.0]	[65, 64]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[69, 65, 62, 70, 69, 68]
Bar	[0.0, 1.0]	[70, 69]
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[69, 72, 70, 69, 67, 66]
Bar	[0.0, 1.0]	[69, 67]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[67, 65, 64, 67, 65, 64]
Bar	[0.0]	[65]
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[64, 65, 64, 65, 64, 65]
Bar	[0.0, 1.0]	[64, 62]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[62, 63, 62, 63, 62, 61]
Bar	[0.0, 1.0]	[63, 62]
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[62, 63, 62, 63, 62, 65]
Bar	[0.0, 1.0]	[63, 62]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[64, 65, 64, 65, 64, 62]
Bar	[0.0, 1.0]	[65, 64]
Bar	[0.5, 1.5, 2.0, 2.5, 3.0, 3.5]	[64, 65, 64, 65, 64, 62]
Bar	[0.0, 1.0]	[65, 64]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[66, 67, 66, 67, 66, 66]
Bar	[0.0]	[71]
Bar	[0.5, 1.5, 2.0, 2.5, 3.0, 3.5]	[66, 66, 67, 66, 67, 66]
Bar	[0.0, 1.0]	[73, 71]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 2.5, 3.5]	[68, 69, 68, 69, 68, 68]
Bar	[0.0, 1.0, 3.0, 3.5]	[75, 73, 75, 73]
Bar	[0.0, 1.0, 3.0, 3.5]	[71, 69, 64, 66]
Bar	[0.0, 2.0]	[68, 68]
Grp	0.0	
Bar	[0.5, 1.0, 1.5, 2.0, 3.0, 3.5]	[68, 64, 61, 69, 69, 68]
Bar	[0.0, 1.0]	[69, 68]
Bar	[0.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[74, 73, 73, 71, 71, 69]
Bar	[0.0, 1.0]	[68, 66]
Grp	0.0	
Bar	[0.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[66, 64, 63, 66, 64, 63]
Bar	[0.0, 3.0, 3.5]	[64, 63, 61]
Bar	[0.0, 2.0, 2.5, 3.0, 3.5]	[63, 63, 66, 66, 64]
Bar	[0.0, 2.0]	[64, 63]
Grp	0.0	
Bar	[1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[68, 64, 61, 69, 68, 67]
Bar	[0.0]	[68]
Bar	[1.0, 1.5, 2.0, 2.5, 3.0, 3.5]	[68, 62, 59, 69, 68, 65]
Bar	[0.0, 2.0]	[68, 66]
Grp	0.0	
Bar	[0.5, 1.5, 2.0, 2.5, 3.0, 3.5]	[66, 68, 66, 68, 66, 68]
Bar	[0.0, 1.0]	[66, 64]
Bar	[0.0, 1.0, 3.0]	[64, 63, 66]
Bar	[0.0, 1.0, 3.0, 3.5]	[64, 63, 66, 64]
Bar	[0.0]	[61]
Bar	[0.0]	[61]
