TS	4/4
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0, 2.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Grp	0.0
Bar	[0.0, 2.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
Bar	[0.0]
